"","k","N","NF","NM","SDF","SDM","lam01","lam02","sig1","sig2","SDFS","SDFL","SDMS","SDML","truesig1","truesig2","truelam01","truelam02","N1CI","N2CI","Sig1CI","Sig2CI","Lam01CI","Lam02CI","TrueNF","TrueNM","Model"
"68",7,0,328,267,41.8864074011555,30.5721214409372,0.0619306137142895,0.0295491197582063,0.621172906637128,0.774986223329058,0.0473477039067058,0.00951218592925395,0.0912771801320765,0.00701233033343243,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,270,185,"BandSMR"
"69",70,0,354,202,40.9497547646594,41.4906575987463,0.0717130079222026,0.037594100596877,0.527140966623326,0.831620595552829,0.0503919910128592,0.0125269796022557,0.091279973981295,0.00793397077662806,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,279,184,"BandSMR"
"70",71,0,361,216,33.2079935200789,42.5162756385834,0.0672866291482271,0.0374108350754909,0.587406129489358,0.880847847035781,0.0381052154089138,0.0100125592221579,0.109554191476959,0.00832653470204721,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,264,176,"BandSMR"
"71",72,0,345,259,39.2217136581909,33.9727347595712,0.0630874695050252,0.0302028764150987,0.650713406534627,0.804586856681342,0.0507125062037204,0.00991277442107671,0.108123727065998,0.00807898147786451,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,261,179,"BandSMR"
"72",73,0,354,259,36.9706067051477,32.8367940227637,0.0665396470980869,0.02618636670193,0.580792612359113,0.846889327327197,0.0504117072527228,0.011542560949407,0.0997731223725563,0.00629375121194596,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,270,178,"BandSMR"
"73",74,0,304.5,231,45.0758442202639,45.4739940452453,0.0611321991824796,0.0344729008305565,0.609206731403316,0.769045246612101,0.0448637138297966,0.0110950517321738,0.108122876700604,0.00848177481443868,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,276,174,"BandSMR"
"74",75,0,335,244,43.6690066682723,35.3350040403433,0.0587740048867275,0.0271732496023977,0.668668988375318,0.886736650650355,0.059433787523763,0.00990696963221604,0.109281185116366,0.00654700856492243,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,270,173,"BandSMR"
"75",76,0,341,216,39.6737003024265,39.5213903237676,0.0889386715536509,0.0290259775282299,0.506057342252514,0.897340936980296,0.0345445055945514,0.0141852203569802,0.0822603002720132,0.00675041243226076,0.6,0.9,0.07,0.03,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,262,171,"BandSMR"
"76",77,0,300,219,48.7975503072157,49.5250908243279,0.061091427678709,0.0197824175091087,0.653445357811827,1.07172719367304,0.0554490250233784,0.0110723804295733,0.205255695294476,0.00577081203356279,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,273,177,"BandSMR"
"77",78,0,351,225,39.9736034723391,38.123043626153,0.0439478883260589,0.0323414634909562,0.671268920360264,0.882988989881683,0.0602521843231343,0.00830733906241201,0.0914913467276963,0.00735306783662506,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,267,174,"BandSMR"
